case_id,low_reference_activity,few_controls,replicates_disagree,controls_disagree
20160720|1241-94-7|0.03,False,False,False,False
20160720|1241-94-7|0.1,False,False,False,False
20160720|1241-94-7|0.3,False,False,False,False
20160720|1241-94-7|1,False,False,False,False
20160720|1241-94-7|3,False,False,False,False
20160720|1241-94-7|10,False,False,False,False
20160720|1241-94-7|20,False,False,False,False
20160720|1330-78-5|0.03,False,False,False,False
20160720|1330-78-5|0.1,False,False,False,False
20160720|1330-78-5|0.3,False,False,False,False
20160720|1330-78-5|1,False,False,False,False
20160720|1330-78-5|3,False,False,False,False
20160720|1330-78-5|10,False,False,True,False
20160720|1330-78-5|20,False,False,False,False
20160720|183658-27-7|0.03,False,False,False,False
20160720|183658-27-7|0.1,False,False,False,False
20160720|183658-27-7|0.3,False,False,False,False
20160720|183658-27-7|1,False,False,False,False
20160720|183658-27-7|3,False,False,False,False
20160720|183658-27-7|10,False,False,False,False
20160720|183658-27-7|20,False,False,False,False
20160720|26040-51-7|0.03,False,False,False,False
20160720|26040-51-7|0.1,False,False,False,False
20160720|26040-51-7|0.3,False,False,False,False
20160720|26040-51-7|1,False,False,False,False
20160720|26040-51-7|3,False,False,False,False
20160720|26040-51-7|10,False,False,True,False
20160720|26040-51-7|20,False,False,False,False
20160720|29761-21-5|0.03,False,False,False,False
20160720|29761-21-5|0.1,False,False,False,False
20160720|29761-21-5|0.3,False,False,False,False
20160720|29761-21-5|1,False,False,False,False
20160720|29761-21-5|3,False,False,False,False
20160720|29761-21-5|10,False,False,False,False
20160720|29761-21-5|20,False,False,False,False
20160720|5436-43-1|0.03,False,False,False,False
20160720|5436-43-1|0.1,False,False,False,False
20160720|5436-43-1|0.3,False,False,False,False
20160720|5436-43-1|1,False,False,False,False
20160720|5436-43-1|3,False,False,True,False
20160720|5436-43-1|10,False,False,True,False
20160720|5436-43-1|20,False,False,False,False
20160720|56803-37-3|0.03,False,False,False,False
20160720|56803-37-3|0.1,False,False,False,False
20160720|56803-37-3|0.3,False,False,False,False
20160720|56803-37-3|1,False,False,False,False
20160720|56803-37-3|3,False,False,False,False
20160720|56803-37-3|10,False,False,False,False
20160720|56803-37-3|20,False,False,False,False
20160720|60348-60-9|0.03,False,False,False,False
20160720|60348-60-9|0.1,False,False,False,False
20160720|60348-60-9|0.3,False,False,False,False
20160720|60348-60-9|1,False,False,False,False
20160720|60348-60-9|3,False,False,False,False
20160720|60348-60-9|10,False,False,True,False
20160720|60348-60-9|20,False,False,False,False
20160720|68631-49-2|0.02,False,False,False,False
20160720|68631-49-2|0.05,False,False,False,False
20160720|68631-49-2|0.15,False,False,False,False
20160720|68631-49-2|0.5,False,False,False,False
20160720|68631-49-2|1.5,False,False,False,False
20160720|68631-49-2|5,False,False,False,False
20160720|68631-49-2|10,False,False,True,False
20160720|68937-41-7|0.03,False,False,False,False
20160720|68937-41-7|0.1,False,False,False,False
20160720|68937-41-7|0.3,False,False,False,False
20160720|68937-41-7|1,False,False,False,False
20160720|68937-41-7|3,False,False,False,False
20160720|68937-41-7|10,False,False,False,False
20160720|68937-41-7|20,False,False,False,False
20160720|860302-33-6|0.03,False,False,False,False
20160720|860302-33-6|0.1,False,False,False,False
20160720|860302-33-6|0.3,False,False,False,False
20160720|860302-33-6|1,False,False,False,False
20160720|860302-33-6|3,False,False,False,False
20160720|860302-33-6|10,False,False,False,False
20160720|860302-33-6|20,False,False,True,False
20160803|120-12-7|0.03,False,False,False,False
20160803|120-12-7|0.1,False,False,False,False
20160803|120-12-7|0.3,False,False,False,False
20160803|120-12-7|1,False,False,False,False
20160803|120-12-7|3,False,False,False,False
20160803|120-12-7|10,False,False,True,False
20160803|120-12-7|20,False,False,False,False
20160803|129-00-0|0.03,False,False,False,False
20160803|129-00-0|0.1,False,False,True,False
20160803|129-00-0|0.3,False,False,False,False
20160803|129-00-0|1,False,False,False,False
20160803|129-00-0|3,False,False,True,False
20160803|129-00-0|10,False,False,False,False
20160803|129-00-0|20,False,False,False,False
20160803|191-24-2|0.0012,False,False,False,False
20160803|191-24-2|0.004,False,False,True,False
20160803|191-24-2|0.012,False,False,True,False
20160803|191-24-2|0.04,False,False,True,False
20160803|191-24-2|0.12,False,False,True,False
20160803|191-24-2|0.4,False,False,True,False
20160803|191-24-2|0.8,False,False,False,False
20160803|192-97-2|0.03,False,False,False,False
20160803|192-97-2|0.1,False,False,False,False
20160803|192-97-2|0.3,False,False,False,False
20160803|192-97-2|1,False,False,False,False
20160803|192-97-2|3,False,False,True,False
20160803|192-97-2|10,False,False,False,False
20160803|192-97-2|20,False,False,False,False
20160803|203-64-5|0.03,False,False,False,False
20160803|203-64-5|0.1,False,False,True,False
20160803|203-64-5|0.3,False,False,False,False
20160803|203-64-5|1,False,False,False,False
20160803|203-64-5|3,False,False,True,False
20160803|203-64-5|10,False,False,True,False
20160803|203-64-5|20,False,False,True,False
20160803|207-08-9|0.03,False,False,False,False
20160803|207-08-9|0.1,False,False,False,False
20160803|207-08-9|0.3,False,False,False,False
20160803|207-08-9|1,False,False,False,False
20160803|207-08-9|3,False,False,False,False
20160803|207-08-9|10,False,False,True,False
20160803|207-08-9|20,False,False,False,False
20160803|215-58-7|0.03,False,False,False,False
20160803|215-58-7|0.1,False,False,False,False
20160803|215-58-7|0.3,False,False,True,False
20160803|215-58-7|1,False,False,False,False
20160803|215-58-7|3,False,False,False,False
20160803|215-58-7|10,False,False,False,False
20160803|215-58-7|20,False,False,False,False
20160803|218-01-9|0.01,False,False,False,False
20160803|218-01-9|0.05,False,False,False,False
20160803|218-01-9|0.15,False,False,False,False
20160803|218-01-9|0.49,False,False,False,False
20160803|218-01-9|1.46,False,False,False,False
20160803|218-01-9|4.85,False,False,False,False
20160803|218-01-9|9.7,False,False,False,False
20160803|50-32-8|0.03,False,False,False,False
20160803|50-32-8|0.1,False,False,False,False
20160803|50-32-8|0.3,False,False,False,False
20160803|50-32-8|1,False,False,False,False
20160803|50-32-8|3,False,False,False,False
20160803|50-32-8|10,False,False,False,False
20160803|50-32-8|20,False,False,False,False
20160803|53-70-3|0.02,False,False,True,False
20160803|53-70-3|0.05,False,False,False,False
20160803|53-70-3|0.15,False,False,False,False
20160803|53-70-3|0.5,False,False,False,False
20160803|53-70-3|1.5,False,False,False,False
20160803|53-70-3|5,False,False,False,False
20160803|53-70-3|10,False,False,False,False
20160803|85-01-8|0.03,False,False,False,False
