case_id,date,identity,dose,name,model,prediction,target,day7,day5,sigma,symmetric_lower_0.8,symmetric_upper_0.8,scaled_lower_0.8,scaled_upper_0.8,symmetric_lower_0.9,symmetric_upper_0.9,scaled_lower_0.9,scaled_upper_0.9,rel__rep_count_d7,rel__rep_sd_log2_ns_d7,rel__plate_ctrl_count_d7,rel__plate_ctrl_median_ns_d7,rel__plate_ctrl_zero_ns_frac_d7,rel__plate_ctrl_iqr_ratio_d7,rel__plate_ctrl_silent_frac_d7,day12_ctrl_median_ns,abstain,flag_low_reference_activity,flag_few_controls,flag_replicates_disagree,flag_controls_disagree
20170920|117428-22-5|0.0003,20170920,117428-22-5,0.0003,Picoxystrobin,extra_trees_relative_day7,0.03375713994056864,0.2236228043478345,-0.0026346208895315164,0.3372927222689547,0.3305725503393848,-1.3405023748799303,1.4080166547610677,-0.4776964162324422,0.5452106961135794,-2.8695324679599454,2.9370467478410824,-0.6566406027070073,0.7241548825881445,3.0,0.10399927362908028,6.0,4.228822364638304,0.0,0.11872776137482022,0.0,104.5,False,False,False,False,False
20170920|117428-22-5|0.001,20170920,117428-22-5,0.001,Picoxystrobin,extra_trees_relative_day7,0.11040971004764918,0.2233070704047562,0.05257039565150769,-0.13469435487205636,0.319635451351595,-1.26384980477285,1.4846692248681481,-0.384122240971581,0.6049416610668793,-2.7928798978528646,3.0136993179481633,-0.5571460015706384,0.7779654216659369,3.0,0.08180644942980254,6.0,4.228822364638304,0.0,0.11872776137482022,0.0,104.5,False,False,False,False,False
20170920|117428-22-5|0.003,20170920,117428-22-5,0.003,Picoxystrobin,extra_trees_relative_day7,0.1051316029100901,0.4273074709475195,0.03138472302831618,0.12902590552226034,0.3233126721334616,-1.2691279119104089,1.4793911177305892,-0.3950896518453036,0.6053528576654839,-2.798158004990424,3.008421210810604,-0.5701039506200896,0.7803671564402699,3.0,0.16146043242603914,6.0,4.228822364638304,0.0,0.11872776137482022,0.0,104.5,False,False,False,False,False
20170920|117428-22-5|0.01,20170920,117428-22-5,0.01,Picoxystrobin,extra_trees_relative_day7,-0.06067805271336619,0.49301173372167,0.05906406314506747,0.10772730359508416,0.3162569692213126,-1.4349375675338651,1.313581462107133,-0.5499829009431303,0.42862679551639793,-2.9639676606138803,2.8426115551871476,-0.7211778353565244,0.5998217299297919,3.0,0.2234420474988619,6.0,4.228822364638304,0.0,0.11872776137482022,0.0,104.5,False,False,False,False,False
20170920|117428-22-5|0.03,20170920,117428-22-5,0.03,Picoxystrobin,extra_trees_relative_day7,0.048949047859571576,-0.15672909660301992,-0.09635617906095659,-0.21082677584750442,0.3263295474669013,-1.3253104669609275,1.4232085626800706,-0.45593984072154137,0.5538379364406845,-2.854340560040942,2.9522386557600857,-0.6325872221636066,0.7304853178827497,3.0,0.08683182196496259,6.0,4.228822364638304,0.0,0.11872776137482022,0.0,104.5,False,False,False,False,False
20170920|117428-22-5|0.1,20170920,117428-22-5,0.1,Picoxystrobin,extra_trees_relative_day7,-0.0972274986360008,-0.16128329796098645,-0.15980307551189862,0.04914286564334321,0.2922909937359382,-1.4714870134565,1.2770320161844981,-0.5494527908755119,0.35499779360351036,-3.0005171065365146,2.8060621092645133,-0.7076745610564348,0.5132195637844332,3.0,0.07309421540886421,6.0,4.228822364638304,0.0,0.11872776137482022,0.0,104.5,False,False,False,False,False
20170920|117428-22-5|0.3,20170920,117428-22-5,0.3,Picoxystrobin,extra_trees_relative_day7,0.01113953965446442,-0.04675416213229844,-0.2976946563718209,-0.10993695896738306,0.3391731904775452,-1.3631199751660346,1.3853990544749635,-0.5136207111594364,0.5358997904683653,-2.8921500682460497,2.914429147554978,-0.6972205611218003,0.7194996404307292,3.0,0.1395767593766854,6.0,4.228822364638304,0.0,0.11872776137482022,0.0,104.5,False,False,False,False,False
20170920|131860-33-8|0.003,20170920,131860-33-8,0.003,Azoxystrobin,extra_trees_relative_day7,0.01606719506167947,0.038053073733873635,-0.06624381416992406,-0.017097318047310017,0.3007481321725322,-1.3581923197588195,1.3903267098821785,-0.44924276958636267,0.4813771597097216,-2.8872224128388346,2.9193568029621932,-0.6120425234984979,0.6441769136218567,3.0,0.4632540508530561,6.0,4.228822364638304,0.0,0.11872776137482022,0.0,104.5,False,False,False,False,False
20170920|131860-33-8|0.01,20170920,131860-33-8,0.01,Azoxystrobin,extra_trees_relative_day7,-0.02615215255021682,-0.6226236321757905,-0.034821361509109715,-0.0940428423837658,0.2877245996217967,-1.4004116673707159,1.3481073622702822,-0.47131243438227755,0.41900812928184394,-2.9294417604507306,2.8771374553502973,-0.6270623427009908,0.5747580376005571,3.0,0.23511966919970156,6.0,4.228822364638304,0.0,0.11872776137482022,0.0,104.5,False,False,False,False,False
20170920|131860-33-8|0.03,20170920,131860-33-8,0.03,Azoxystrobin,extra_trees_relative_day7,0.05915798931542553,-0.5596196542591265,-0.07173172743301724,-0.31269404274488494,0.32110956195405593,-1.3151015255050735,1.4334175041359245,-0.4376546686440722,0.5559706472749233,-2.8441316185850885,2.9624475972159394,-0.6114763887901644,0.7297923674210154,3.0,0.13873025023203284,6.0,4.228822364638304,0.0,0.11872776137482022,0.0,104.5,False,False,False,False,False
